Id,Label,Statuses Count,Followers Count,Friends Count,Listed Count,Favourites Count,Klout Score,Klout Score Bucket,Kred Influence,Kred Outreach,Eccentricity,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Local Clustering Coefficient,Clustering Coefficient,Component ID,Strongly-Connected ID,PageRank,Modularity Class,Authority,Hub,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,In-Degree,Out-Degree,Degree,Erdös Number
251116380,BradButtMP,3434.0,1659.0,738.0,91.0,3.0,53.68103250233795,50-59,683.0,5.0,7.0,3.457003546099291,8107.331509564554,0.1326020839062127,0.03839037927844589,0.07371795,0,110,4.401619185059589E-4,63,0.0010008656,9.654906E-4,47.0,36.0,11.0,36,11,47,2
944417654,MaxoulParisien,836.0,71.0,193.0,0.0,72.0,41.15283796982282,40-49,595.0,5.0,2.0,1.3333333333333333,116.15,0.002717271306001142,0.07309941520467836,0.2628205,73,248,3.1378792240987336E-4,422,2.1640338E-4,2.2068356E-4,19.0,7.0,12.0,7,12,19,8
27474582,GinnyMovat,3636.0,430.0,545.0,6.0,0.0,42.022168381274916,40-49,639.0,6.0,7.0,3.4703014184397163,5451.757460876941,0.08241092764632442,0.035650623885918005,0.09166667,0,110,1.4946011925233164E-4,63,4.869076E-4,4.96538E-4,34.0,17.0,17.0,17,17,34,2
169670184,rk70534,33932.0,671.0,2002.0,26.0,41.0,57.33804503131591,50-59,735.0,9.0,6.0,3.0354609929078014,2255.711788561758,0.08021668389123353,0.04,0.20416667,0,110,8.690524878032668E-5,443,3.5165547E-4,3.586108E-4,26.0,12.0,14.0,12,14,26,3
394245906,1loriking,12416.0,578.0,922.0,25.0,4.0,51.394742344003696,50-59,722.0,8.0,7.0,3.017730496453901,7692.233310158125,0.13911261831997707,0.025510204081632654,0.07647059,0,110,2.4383340435000042E-4,463,7.574118E-4,7.723925E-4,49.0,27.0,22.0,27,22,49,3
29386701,jabest,16488.0,749.0,499.0,37.0,37.0,50.95129209449648,50-59,744.0,8.0,8.0,3.7925531914893615,513.8754695268228,0.06729771968869526,0.1111111111111111,0.23809524,0,110,1.3710927164104568E-4,63,4.0575632E-4,4.137817E-4,18.0,14.0,4.0,14,4,18,4
87836882,ilamzzone,7855.0,530.0,749.0,9.0,337.0,43.79906688248477,40-49,689.0,7.0,9.0,4.902925531914893,0.0,5.653040805349966E-4,0.0,0.33333334,0,110,5.24952780416993E-5,29,5.4100845E-5,5.517089E-5,2.0,1.0,1.0,1,1,2,3
287752788,Rabnew,5358.0,250.0,468.0,4.0,17.0,50.75510041278816,50-59,704.0,7.0,6.0,2.917109929078014,9596.90008886693,0.18286181191176099,0.0357975357975358,0.0920765,0,110,2.0151145128346516E-4,443,0.0011361177,0.0011585887,78.0,41.0,37.0,41,37,78,3
587873748,SaveTheELA,951.0,741.0,693.0,27.0,4.0,57.13031431857382,50-59,730.0,5.0,7.0,2.897163120567376,108483.55746195318,0.22546643469279581,0.015135251180764276,0.050257128,0,110,6.605639403975573E-4,443,0.0021640337,0.0020689084,137.0,79.0,58.0,79,58,137,3
246538797,jamesjcowan,7511.0,93.0,142.0,1.0,56.0,38.594311284766206,30-39,595.0,7.0,2.0,1.5,0.0,0.0,0.0,0.0,0,250,4.766339181938244E-5,443,0.0,2.7585445E-5,1.0,0.0,1.0,0,1,1,5
